sampleID	SequencingBatch	Sequencing run	fastq_fwd_file_name	fastq_rev_file_name	Site	Region	Latitude	Longitude	ApproximateShellLength	Age	CohortYear	TransplantationYear	TransplantationAge	YearsSpentAtTransplantationSite	AdditionalSiteInfo	AdditionalComments
TG67	Y3	HN00138609	Samar_Tg_3_1.fastq.gz	Samar_Tg_3_2.fastq.gz	Guiuan	Samar	11.0583	125.6537	63	17	2001	2002	16	1	Guiuan via UPV Tacloban	Pew
TM01	Y2	HN00122531	APO-A-Tm-5_1.fastq.gz	APO-A-Tm-5_2.fastq.gz	Aladin	ARNP	12.66161667	120.4167833								
TM02	Y2	HN00122531	APO-SA-Tc-4_1.fastq.gz	APO-SA-Tc-4_2.fastq.gz	South Atoll	ARNP	12.63956667	120.4516167								
TM03	Y2	HN00122531	APO-SA-Tm-1_1.fastq.gz	APO-SA-Tm-1_2.fastq.gz	South Atoll	ARNP	12.63956667	120.4516167								
TM04	Y2	HN00122531	APO-SA-Tm-4_1.fastq.gz	APO-SA-Tm-4_2.fastq.gz	South Atoll	ARNP	12.63956667	120.4516167								
TM05	Y2	HN00122531	APO-SA-Tm-5_1.fastq.gz	APO-SA-Tm-5_2.fastq.gz	South Atoll	ARNP	12.63956667	120.4516167								
TM06	Y2	HN00122531	BAU-Tm-1_1.fastq.gz	BAU-Tm-1_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833								
TM07	Y2	HN00122531	BAU-Tm-3_1.fastq.gz	BAU-Tm-3_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833								
TM08	Y2	HN00122531	BAU-Ts-2_1.fastq.gz	BAU-Ts-2_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833								
TM09	Y2	HN00122531	BAU-Ts-5_1.fastq.gz	BAU-Ts-5_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833								
TM10	Y2	HN00122531	CAL-M-Tm-2_1.fastq.gz	CAL-M-Tm-2_2.fastq.gz	Mangkawayan	Calaguas	14.46246667	122.9573								
TM11	Y2	HN00122531	CAL-M-Tm-3_1.fastq.gz	CAL-M-Tm-3_2.fastq.gz	Mangkawayan	Calaguas	14.46246667	122.9573								
TM12	Y2	HN00122531	CAL-M-Tm-4_1.fastq.gz	CAL-M-Tm-4_2.fastq.gz	Mangkawayan	Calaguas	14.46246667	122.9573								
TM13	Y2	HN00122531	CAL-P-Tm-1_1.fastq.gz	CAL-P-Tm-1_2.fastq.gz	Pinagtigasan	Calaguas	14.4397167	122.9147167								
TM14	Y2	HN00122531	CAL-P-Tm-2_1.fastq.gz	CAL-P-Tm-2_2.fastq.gz	Pinagtigasan	Calaguas	14.4397167	122.9147167								
TM15	Y2	HN00122531	CAL-P-Tm-4_1.fastq.gz	CAL-P-Tm-4_2.fastq.gz	Pinagtigasan	Calaguas	14.4397167	122.9147167								
TM16	Y2	HN00125113	APO-A-Tm-3_1.fastq.gz	APO-A-Tm-3_2.fastq.gz	Aladin	ARNP	12.66161667	120.4167833								
